index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
620,-0.447737,-3.723360,-7.060010,-15.036074,-4.636234,-16.996921,-0.000000,0.000000,-0.000000
621,-0.538140,4.212950,0.856922,-9.423476,-0.592527,-21.362444,-0.000000,0.000000,0.000000
622,-3.698730,6.336210,-0.384738,-8.145913,0.883229,-21.836512,-0.000000,0.000000,0.000000
623,0.189877,6.868510,2.440600,-7.482018,-0.513435,-22.538874,-0.000000,0.000000,-0.000000
624,1.075230,2.024330,-1.245110,-10.933004,-2.417151,-20.821708,-0.000000,0.000000,0.000000
625,2.098040,3.701730,0.234878,-9.830040,-2.664566,-21.640080,0.000000,-0.000000,0.000000
626,4.838520,-9.406660,-2.906190,-16.957145,-5.182142,-15.193043,0.000000,-0.000000,0.000000
627,-0.013224,9.237330,1.750220,-5.900974,-0.668048,-23.506421,-0.000000,-0.000000,0.000000
628,-3.936830,-3.601670,-3.137440,-13.414287,-0.922891,-15.289505,0.000000,-0.000000,0.000000
629,-0.143041,8.249560,4.414160,-6.279636,0.507303,-23.063626,0.000000,-0.000000,-0.000000
630,-5.167890,5.156670,-1.133340,-9.000211,1.485241,-21.116403,0.000000,-0.000000,-0.000000
631,-0.910330,7.094410,4.971260,-7.034810,1.290994,-22.483408,0.000000,-0.000000,-0.000000
632,5.176000,-3.543530,-2.449460,-13.658953,-5.093888,-18.802086,-0.000000,0.000000,0.000000
633,1.815010,4.575650,-4.081290,-9.740518,-4.122396,-21.908364,0.000000,0.000000,-0.000000
634,2.807630,6.108830,1.169340,-8.196162,-3.004636,-22.597223,0.000000,-0.000000,-0.000000
635,1.515250,0.519027,-1.817510,-11.649706,-2.857070,-20.104791,0.000000,-0.000000,-0.000000
636,8.972370,7.441110,4.764040,-13.083125,-15.648456,-17.030144,-0.000000,0.000000,-0.000000
637,-1.629440,7.535210,-3.269750,-7.701014,-1.680006,-22.621791,-0.000000,-0.000000,0.000000
638,-9.649280,7.291370,2.926970,-7.152898,6.171421,-21.532409,-0.000000,-0.000000,0.000000
639,-1.939820,-2.404540,-3.355530,-13.364319,-1.773014,-17.310901,0.000000,0.000000,0.000000
640,-1.593700,8.613150,2.451210,-6.256945,0.716696,-23.050012,0.000000,0.000000,-0.000000
641,-0.648794,-2.283640,-1.454460,-12.793026,-1.107089,-17.670548,-0.000000,0.000000,0.000000
642,-2.725580,-1.147360,-2.019580,-12.595810,-0.489741,-17.989193,-0.000000,-0.000000,0.000000
643,4.050530,5.600090,0.670664,-8.585338,-4.321199,-22.570964,-0.000000,0.000000,-0.000000
644,-0.857165,2.710690,-2.900310,-10.764342,-2.075734,-20.640222,0.000000,0.000000,-0.000000
645,0.454453,9.133030,3.509350,-5.759252,-0.309577,-23.503159,0.000000,-0.000000,0.000000
646,1.312250,8.451210,0.960740,-6.536199,-1.965609,-23.319681,-0.000000,-0.000000,-0.000000
647,3.665490,7.543580,0.092612,-7.219484,-4.012533,-23.132202,-0.000000,0.000000,0.000000
648,-0.763707,6.733980,2.948360,-7.521467,0.371536,-22.358613,-0.000000,0.000000,-0.000000
649,1.075550,4.598240,0.897129,-9.190461,-1.704654,-21.816721,0.000000,-0.000000,0.000000
650,2.672300,6.321420,-2.868820,-8.344948,-4.210163,-22.646239,-0.000000,0.000000,0.000000
651,4.844330,5.643180,-0.731086,-8.479772,-4.882740,-22.732658,-0.000000,-0.000000,-0.000000
652,0.536923,4.836790,-1.643920,-9.260783,-2.348024,-21.844031,-0.000000,-0.000000,-0.000000
653,-4.342180,-8.758450,-2.981830,-8.105537,-0.717226,-7.335237,-0.000000,-0.000000,0.000000
654,-4.091430,-9.745050,-2.564840,-6.261160,0.430857,-5.683213,0.000000,0.000000,-0.000000
655,0.975673,-1.632610,-3.510090,-13.035417,-3.382235,-18.628325,0.000000,-0.000000,0.000000
656,-2.254980,7.995630,-1.103620,-7.137127,-0.356723,-22.749731,-0.000000,-0.000000,-0.000000
657,0.226886,5.604590,2.554240,-8.348100,-0.475280,-22.006405,-0.000000,-0.000000,-0.000000
658,-8.244860,5.848170,1.815030,-8.194545,4.785602,-21.049691,-0.000000,-0.000000,-0.000000
659,1.756280,-1.743930,-1.470590,-12.457545,-2.699265,-18.767861,-0.000000,0.000000,0.000000
660,2.473430,4.572980,1.101160,-9.292866,-2.798432,-21.984160,-0.000000,0.000000,-0.000000
661,1.047570,2.133490,-3.408880,-11.136283,-3.367491,-20.871519,-0.000000,-0.000000,0.000000
662,5.818190,-7.157490,-3.375300,-15.903979,-5.987235,-16.855001,-0.000000,-0.000000,-0.000000
663,6.425190,-7.460300,-2.809910,-15.878919,-5.978788,-16.877122,-0.000000,0.000000,-0.000000
664,6.154790,-7.399510,-3.207210,-15.978433,-6.068840,-16.823189,-0.000000,-0.000000,-0.000000
665,5.819080,-8.249890,-2.813510,-16.304365,-5.654675,-16.206062,-0.000000,-0.000000,0.000000
666,-0.230161,0.700220,-0.430080,-11.368265,-1.112220,-19.738707,0.000000,0.000000,-0.000000
667,-0.858567,8.977030,-0.169359,-6.337979,-0.878793,-23.321084,-0.000000,0.000000,0.000000
668,5.328470,-7.250210,-1.856280,-15.448570,-4.822248,-16.636339,0.000000,0.000000,-0.000000
669,5.673820,4.776190,2.176910,-10.099438,-7.164263,-22.412856,0.000000,-0.000000,0.000000
670,-0.394336,5.800420,1.613200,-8.296080,-0.379294,-22.047649,0.000000,-0.000000,-0.000000
671,-6.445170,5.295040,-0.041123,-8.768956,2.810829,-21.023863,-0.000000,0.000000,0.000000
672,0.458071,9.811670,-1.774200,-5.947854,-2.419531,-23.801694,-0.000000,0.000000,0.000000
673,0.247491,-2.063370,-0.943931,-12.511456,-1.531047,-18.144445,0.000000,-0.000000,0.000000
674,4.953060,-4.631120,-1.138240,-13.803493,-4.196751,-18.070798,-0.000000,-0.000000,0.000000
675,4.186260,-4.241680,-2.739270,-14.117837,-4.725264,-18.062664,0.000000,-0.000000,-0.000000
676,1.721850,9.213670,-2.559860,-6.430497,-3.581090,-23.663640,-0.000000,-0.000000,0.000000
677,-1.232670,1.553780,-4.065480,-11.689511,-2.456716,-19.927528,-0.000000,0.000000,0.000000
678,-1.989240,1.454540,-2.093950,-11.382960,-1.057733,-19.816086,0.000000,-0.000000,0.000000
679,-1.218960,7.612800,3.883150,-6.789390,1.063084,-22.666100,-0.000000,-0.000000,0.000000
680,3.633770,6.610020,0.659385,-7.861083,-3.884176,-22.888820,0.000000,0.000000,-0.000000
681,-1.094410,7.006350,1.376300,-7.499666,-0.034101,-22.473824,-0.000000,-0.000000,-0.000000
682,2.280460,3.178150,-2.667080,-10.359169,-3.766373,-21.587859,0.000000,-0.000000,0.000000
683,-3.230150,6.273740,-2.515220,-8.450710,-0.334795,-21.880304,0.000000,0.000000,0.000000
684,-4.310100,-6.081680,-2.285150,-12.244718,-0.111125,-11.686101,0.000000,0.000000,-0.000000
685,0.018401,3.941940,-4.061000,-10.207488,-3.082772,-21.327826,-0.000000,0.000000,0.000000
686,-0.269821,6.300360,4.252720,-7.682151,0.537038,-22.229718,0.000000,0.000000,0.000000
687,8.033870,5.695380,3.089020,-10.645471,-10.938495,-21.578209,0.000000,0.000000,0.000000
688,-0.085277,10.080600,0.541504,-5.472578,-1.129337,-23.857643,-0.000000,-0.000000,-0.000000
689,-1.575780,-1.754190,-2.224220,-12.800907,-1.234762,-17.879506,0.000000,0.000000,-0.000000
690,4.627390,6.719280,-0.358086,-7.857478,-4.857268,-22.907087,-0.000000,0.000000,0.000000
691,2.796160,-2.842040,-1.458810,-12.968121,-3.218977,-18.415382,0.000000,0.000000,-0.000000
692,-0.631686,7.262960,-0.273042,-7.526591,-1.059167,-22.651217,-0.000000,0.000000,-0.000000
693,1.072570,3.258280,0.979182,-9.940429,-1.573315,-21.175483,-0.000000,0.000000,-0.000000
